candidate,state,district,office,year,party,district_i,cand_id,fec_raw_name,cand_ici,bonica_rid,ICPSR,NID,cfscore,seat,lname,fname,cfscore_dyn,dwnom1,dwnom2,dime_district,dime_ico,candidate_icpsr,name_key,party_full,stage,data_source,district_id,candidate_year_stage,on_ballot,general_votes
Randall Clark,NH,2.0,house,2024,R,2.0,H4NH02423,"CLARK, RANDALL",O,,,,,,,,,,,,,"Clark, Randall",clark_randall,republican,2,general_wayback,NH02,"Clark, Randall_2024_2",False,
Jerry Mcnerney,CA,9.0,house,2024,D,9.0,H4CA11081,"MCNERNEY, JERRY",I,cand967,207022022,N00026926,-1.133,federal:house,mcnerney,jerry,,,,,,"Mcnerney, Jerry",mcnerney_jerry,democrat,2,general_wayback,CA09,"Mcnerney, Jerry_2024_2",False,
Max Steiner,CA,1.0,house,2024,D,1.0,H2CA01227,"STEINER, MAX",C,cand210799,H2CA012272022,NH2CA01227,-1.141,federal:house,steiner,max,,,,,,"Steiner, Max",steiner_max,democrat,2,general_wayback,CA01,"Steiner, Max_2024_2",False,
Quintessa Dr. Hathaway,AR,2.0,house,2024,D,2.0,H2AR02095,"HATHAWAY, QUINTESSA DR.",C,cand210713,H2AR020952022,NH2AR02095,-1.097,federal:house,hathaway,quintessa,,,,,,"Hathaway, Quintessa Dr.",hathaway_quintessa,democrat,2,general_wayback,AR02,"Hathaway, Quintessa Dr._2024_2",False,
Kendall Qualls,MN,3.0,house,2024,R,3.0,H0MN03124,"QUALLS, KENDALL",C,cand149929,H0MN031242020,NH0MN03124,1.406,federal:house,qualls,kendall,,,,,,"Qualls, Kendall",qualls_kendall,republican,2,general_wayback,MN03,"Qualls, Kendall_2024_2",False,
Mike France,CT,2.0,house,2024,R,2.0,H2CT02161,"FRANCE, MIKE",C,cand211141,H2CT021612022,NH2CT02161,1.296,federal:house,france,mike,,,,,,"France, Mike",france_mike,republican,2,general_wayback,CT02,"France, Mike_2024_2",True,157878
Chris Maples,NC,8.0,house,2024,R,8.0,H4NC08108,"MAPLES, CHRIS",O,,,,,,,,,,,,,"Maples, Chris",maples_chris,republican,2,general_wayback,NC08,"Maples, Chris_2024_2",False,
Samuel James Mr Peters,NV,4.0,house,2024,R,4.0,H0NV04023,"PETERS, SAMUEL JAMES MR",C,cand148362,H0NV040232022,NH0NV04023,1.357,federal:house,peters,samuel,,,,,,"Peters, Samuel James Mr",peters_samuel,republican,2,general_wayback,NV04,"Peters, Samuel James Mr_2024_2",False,
Stephen Alan Leon,MD,8.0,house,2024,D,8.0,H6MD08622,"LEON, STEPHEN ALAN",,,,,,,,,,,,,,"Leon, Stephen Alan",leon_stephen,democrat,2,general_wayback,MD08,"Leon, Stephen Alan_2024_2",False,
Joaquin Castro,TX,20.0,house,2024,D,20.0,H2TX35011,"CASTRO, JOAQUIN",I,cand45198,H2TX350112022,N00033316,-0.701,federal:house,castro,joaquin,,,,,,"Castro, Joaquin",castro_joaquin,democrat,2,general_wayback,TX20,"Castro, Joaquin_2024_2",True,157890
Dale William Mr. Ii Dorris,IN,9.0,house,2024,D,9.0,H0IN09161,"DORRIS, DALE WILLIAM MR. II",C,cand153060,H0IN091612022,NH0IN09161,-1.193,federal:house,dorris,dale,,,,,,"Dorris, Dale William Mr. Ii",dorris_dale,democrat,2,general_wayback,IN09,"Dorris, Dale William Mr. Ii_2024_2",False,
Kelly Williams,DC,0.0,house,2024,D,0.0,H2DC01029,"WILLIAMS, KELLY",C,cand211158,H2DC010292022,NH2DC01029,-1.159,federal:house,williams,kelly,,,,,,"Williams, Kelly",williams_kelly,democrat,2,general_wayback,DC01,"Williams, Kelly_2024_2",False,
Mike Cargile,CA,35.0,house,2024,R,35.0,H0CA35146,"CARGILE, MIKE",C,cand152709,H0CA351462022,NH0CA35146,1.342,federal:house,cargile,mike,,,,,,"Cargile, Mike",cargile_mike,republican,2,general_wayback,CA35,"Cargile, Mike_2024_2",True,97142
Jodey Arrington,TX,19.0,house,2024,R,19.0,H6TX19099,"ARRINGTON, JODEY",I,cand130823,H6TX190992022,NH6TX19099,1.275,federal:house,arrington,jodey,,,,,,"Arrington, Jodey",arrington_jodey,republican,2,general_wayback,TX19,"Arrington, Jodey_2024_2",True,214950
Jason Emert,TN,2.0,house,2024,R,2.0,H8TN02200,"EMERT, JASON",O,cand142756,H8TN022002018,NH8TN02200,1.2,federal:house,emert,jason,,,,,,"Emert, Jason",emert_jason,republican,2,general_wayback,TN02,"Emert, Jason_2024_2",False,
Shana Melius,NJ,10.0,house,2024,D,10.0,H4NJ10184,"MELIUS, SHANA",C,,,,,,,,,,,,,"Melius, Shana",melius_shana,democrat,2,general_wayback,NJ10,"Melius, Shana_2024_2",False,
Martell De'Angelo Bivings,MI,13.0,house,2024,R,13.0,H2MI13360,"BIVINGS, MARTELL DE'ANGELO",C,cand211936,H2MI133602022,NH2MI13360,0.783,federal:house,bivings,martell,,,,,,"Bivings, Martell De'Angelo",bivings_martell,republican,2,general_wayback,MI13,"Bivings, Martell De'Angelo_2024_2",True,78917
Gwen S Moore,WI,4.0,house,2024,D,4.0,H4WI04183,"MOORE, GWEN S",I,cand960,205372022,N00026914,-0.77,federal:house,moore,gwen,,,,,,"Moore, Gwen S",moore_gwen,democrat,2,general_wayback,WI04,"Moore, Gwen S_2024_2",True,249938
Suzanne Ms. Bonamici,OR,1.0,house,2024,D,1.0,H2OR01133,"BONAMICI, SUZANNE MS.",I,cand44313,H2OR011332022,N00033474,-0.871,federal:house,bonamici,suzanne,,,,,,"Bonamici, Suzanne Ms.",bonamici_suzanne,democrat,2,general_wayback,OR01,"Bonamici, Suzanne Ms._2024_2",True,241556
Herb Robinson,MA,4.0,house,2024,D,4.0,H8MA04047,"ROBINSON, HERB",C,cand54731,H8MA040472020,NH8MA04047,-1.081,federal:house,robinson,herb,,,,,,"Robinson, Herb",robinson_herb,democrat,2,general_wayback,MA04,"Robinson, Herb_2024_2",False,
Theodore P. Budd,NC,13.0,house,2024,R,13.0,H6NC13129,"BUDD, THEODORE P.",I,cand137082,H6NC131292020,NH6NC13129,1.351,federal:house,budd,theodore,,,,,,"Budd, Theodore P.",budd_theodore,republican,2,general_wayback,NC13,"Budd, Theodore P._2024_2",False,
Tim Burchett,TN,2.0,house,2024,R,2.0,H8TN02119,"BURCHETT, TIM",I,cand141689,H8TN021192022,NH8TN02119,1.11,federal:house,burchett,tim,,,,,,"Burchett, Tim",burchett_tim,republican,2,general_wayback,TN02,"Burchett, Tim_2024_2",True,250782
Kevin Easton,OR,5.0,house,2024,D,5.0,H4OR05270,"EASTON, KEVIN",C,,,,,,,,,,,,,"Easton, Kevin",easton_kevin,democrat,2,general_wayback,OR05,"Easton, Kevin_2024_2",False,
Matt Collier,MI,8.0,house,2024,D,8.0,H4MI08242,"COLLIER, MATT",O,,,,,,,,,,,,,"Collier, Matt",collier_matt,democrat,2,general_wayback,MI08,"Collier, Matt_2024_2",False,
Ibra Taher,OR,4.0,house,2024,R,4.0,H4OR04117,"TAHER, IBRA",C,,,,,,,,,,,,,"Taher, Ibra",taher_ibra,republican,2,general_wayback,OR04,"Taher, Ibra_2024_2",False,
Tuan A Le,FL,10.0,house,2024,R,10.0,H2FL07198,"LE, TUAN A",C,cand211200,H2FL071982022,NH2FL07198,1.469,federal:house,le,tuan,,,,,,"Le, Tuan A",le_tuan,republican,2,general_wayback,FL10,"Le, Tuan A_2024_2",False,
Gus M Bilirakis,FL,12.0,house,2024,R,12.0,H6FL09070,"BILIRAKIS, GUS M",I,cand1022,207582022,N00027462,0.719,federal:house,bilirakis,gus,,,,,,"Bilirakis, Gus M",bilirakis_gus,republican,2,general_wayback,FL12,"Bilirakis, Gus M_2024_2",True,306487
Dalia Al-Aqidi,MN,5.0,house,2024,R,5.0,H0MN05251,"AL-AQIDI, DALIA",C,cand153233,H0MN052512020,NH0MN05251,1.357,federal:house,al aqidi,dalia,,,,,,"Al-Aqidi, Dalia",alaqidi_dalia,republican,2,general_wayback,MN05,"Al-Aqidi, Dalia_2024_2",True,86213
Joseph Frederick Iii Yetter,OR,2.0,house,2024,D,2.0,H2OR02156,"YETTER, JOSEPH FREDERICK III",C,cand212696,H2OR021562022,NH2OR02156,-1.123,federal:house,yetter,joseph,,,,,,"Yetter, Joseph Frederick Iii",yetter_joseph,democrat,2,general_wayback,OR02,"Yetter, Joseph Frederick Iii_2024_2",False,
Julie Johnson,TX,32.0,house,2024,D,32.0,H4TX32089,"JOHNSON, JULIE",O,,,,,,,,,,,,,"Johnson, Julie",johnson_julie,democrat,2,general_wayback,TX32,"Johnson, Julie_2024_2",True,140536
Kevin John Mcgovern,FL,15.0,house,2024,R,15.0,H2FL07206,"MCGOVERN, KEVIN JOHN",O,cand211201,H2FL072062022,NH2FL07206,1.476,federal:house,mcgovern,kevin,,,,,,"Mcgovern, Kevin John",mcgovern_kevin,republican,2,general_wayback,FL15,"Mcgovern, Kevin John_2024_2",False,
Johnny Mark Dr. Teague,TX,7.0,house,2024,R,7.0,H0TX09176,"TEAGUE, JOHNNY MARK DR.",C,cand148395,H0TX091762022,NH0TX09176,1.428,federal:house,teague,johnny,,,,,,"Teague, Johnny Mark Dr.",teague_johnny,republican,2,general_wayback,TX07,"Teague, Johnny Mark Dr._2024_2",False,
Marcus J. Molinaro,NY,19.0,house,2024,R,19.0,H2NY19127,"MOLINARO, MARCUS J.",I,cand157271,H2NY191272022,NH2NY19127,0.794,federal:house,molinaro,marcus,,,,,,"Molinaro, Marcus J.",molinaro_marcus,republican,2,general_wayback,NY19,"Molinaro, Marcus J._2024_2",True,164001
Steve Albert Loor,NC,13.0,house,2024,R,13.0,H4NC13165,"LOOR, STEVE ALBERT",O,,,,,,,,,,,,,"Loor, Steve Albert",loor_steve,republican,2,general_wayback,NC13,"Loor, Steve Albert_2024_2",False,
Akil Khalfani,NJ,10.0,house,2024,D,10.0,H2NJ10212,"KHALFANI, AKIL",C,cand212313,H2NJ102122022,NH2NJ10212,-1.037,federal:house,khalfani,akil,,,,,,"Khalfani, Akil",khalfani_akil,democrat,2,general_wayback,NJ10,"Khalfani, Akil_2024_2",False,
Marlene Galan-Woods,AZ,1.0,house,2024,D,1.0,H4AZ01228,"GALAN-WOODS, MARLENE",C,,,,,,,,,,,,,"Galan-Woods, Marlene",galanwoods_marlene,democrat,2,general_wayback,AZ01,"Galan-Woods, Marlene_2024_2",False,
David Serpa,CA,39.0,house,2024,R,39.0,H4CA39066,"SERPA, DAVID",C,,,,,,,,,,,,,"Serpa, David",serpa_david,republican,2,general_wayback,CA39,"Serpa, David_2024_2",True,99469
Ahsan Nasar,VA,11.0,house,2024,D,11.0,H4VA11137,"NASAR, AHSAN",C,,,,,,,,,,,,,"Nasar, Ahsan",nasar_ahsan,democrat,2,general_wayback,VA11,"Nasar, Ahsan_2024_2",False,
Destiny Drake West,MD,6.0,house,2024,D,6.0,H4MD06266,"WEST, DESTINY DRAKE",O,,,,,,,,,,,,,"West, Destiny Drake",west_destiny,democrat,2,general_wayback,MD06,"West, Destiny Drake_2024_2",False,
Paul Buskirk,KS,1.0,house,2024,D,1.0,H4KS01083,"BUSKIRK, PAUL",C,,,,,,,,,,,,,"Buskirk, Paul",buskirk_paul,democrat,2,general_wayback,KS01,"Buskirk, Paul_2024_2",True,93965
Cathy Bernstein,NY,10.0,house,2024,R,10.0,H0NY10112,"BERNSTEIN, CATHY",C,cand153439,H0NY101122022,NH0NY10112,1.451,federal:house,bernstein,cathy,,,,,,"Bernstein, Cathy",bernstein_cathy,republican,2,general_wayback,NY10,"Bernstein, Cathy_2024_2",False,
Jack Smith,AZ,2.0,house,2024,R,2.0,H4AZ02192,"SMITH, JACK",C,,,,,,,,,,,,,"Smith, Jack",smith_jack,republican,2,general_wayback,AZ02,"Smith, Jack_2024_2",False,
Gary Mcmanus,FL,4.0,house,2024,D,4.0,H4FL04076,"MCMANUS, GARY",C,,,,,,,,,,,,,"Mcmanus, Gary",mcmanus_gary,democrat,2,general_wayback,FL04,"Mcmanus, Gary_2024_2",False,
Michael Lewis Van Meter,VA,11.0,house,2024,R,11.0,H4VA11129,"VAN METER, MICHAEL LEWIS",C,,,,,,,,,,,,,"Van Meter, Michael Lewis",vanmeter_michael,republican,2,general_wayback,VA11,"Van Meter, Michael Lewis_2024_2",True,134802
Sebastian Kenneth Gehrig,TX,12.0,house,2024,D,12.0,H4TX12107,"GEHRIG, SEBASTIAN KENNETH",O,,,,,,,,,,,,,"Gehrig, Sebastian Kenneth",gehrig_sebastian,democrat,2,general_wayback,TX12,"Gehrig, Sebastian Kenneth_2024_2",False,
Thomas William Jr. Brown,AL,2.0,house,2024,R,2.0,H0AL02160,"BROWN, THOMAS WILLIAM JR.",O,,,,,,,,,,,,,"Brown, Thomas William Jr.",brown_thomas,republican,2,general_wayback,AL02,"Brown, Thomas William Jr._2024_2",False,
Gerardo Serrano,KY,5.0,house,2024,R,5.0,H2KY05185,"SERRANO, GERARDO",C,,,,,,,,,,,,,"Serrano, Gerardo",serrano_gerardo,republican,2,general_wayback,KY05,"Serrano, Gerardo_2024_2",False,
Eric Michael Swalwell,CA,14.0,house,2024,D,14.0,H2CA15094,"SWALWELL, ERIC MICHAEL",I,cand40569,H2CA150942022,N00033508,-0.866,federal:house,swalwell,eric,,,,,,"Swalwell, Eric Michael",swalwell_eric,democrat,2,general_wayback,CA14,"Swalwell, Eric Michael_2024_2",True,187263
Ana Irma Rivera-Lassen,PR,0.0,house,2024,D,0.0,H4PR01069,"RIVERA-LASSEN, ANA IRMA",C,,,,,,,,,,,,,"Rivera-Lassen, Ana Irma",riveralassen_ana,democrat,2,general_wayback,PR01,"Rivera-Lassen, Ana Irma_2024_2",False,
Karen R Breslin,CO,4.0,house,2024,D,4.0,H4CO04173,"BRESLIN, KAREN R",O,,,,,,,,,,,,,"Breslin, Karen R",breslin_karen,democrat,2,general_wayback,CO04,"Breslin, Karen R_2024_2",False,
John Mr. Moolenaar,MI,2.0,house,2024,R,2.0,H4MI04126,"MOOLENAAR, JOHN MR.",I,cand191153,H4MI041262022,N00036275,1.026,federal:house,moolenaar,john,,,,,,"Moolenaar, John Mr.",moolenaar_john,republican,2,general_wayback,MI02,"Moolenaar, John Mr._2024_2",True,279167
Joseph Gomes,MD,4.0,house,2024,D,4.0,H4MD04196,"GOMES, JOSEPH",C,,,,,,,,,,,,,"Gomes, Joseph",gomes_joseph,democrat,2,general_wayback,MD04,"Gomes, Joseph_2024_2",False,
David Reid,VA,10.0,house,2024,D,10.0,H4VA10246,"REID, DAVID",O,,,,,,,,,,,,,"Reid, David",reid_david,democrat,2,general_wayback,VA10,"Reid, David_2024_2",False,
Joshua Braxton Mccall,GA,9.0,house,2024,D,9.0,H8GA09058,"MCCALL, JOSHUA BRAXTON",C,cand141106,H8GA090582018,NH8GA09058,-1.168,federal:house,mccall,joshua,,,,,,"Mccall, Joshua Braxton",mccall_joshua,democrat,2,general_wayback,GA09,"Mccall, Joshua Braxton_2024_2",False,
Brady Duke,FL,7.0,house,2024,R,7.0,H2FL07164,"DUKE, BRADY",O,cand211197,H2FL071642022,NH2FL07164,1.501,federal:house,duke,brady,,,,,,"Duke, Brady",duke_brady,republican,2,general_wayback,FL07,"Duke, Brady_2024_2",False,
Bonnie Ms. Wallace,CA,28.0,house,2024,R,28.0,H4CA28119,"WALLACE, BONNIE MS.",C,,,,,,,,,,,,,"Wallace, Bonnie Ms.",wallace_bonnie,republican,2,general_wayback,CA28,"Wallace, Bonnie Ms._2024_2",False,
Matthew Mr. Lusk,FL,5.0,house,2024,R,5.0,H0FL05154,"LUSK, MATTHEW MR.",C,,,,,,,,,,,,,"Lusk, Matthew Mr.",lusk_matthew,republican,2,general_wayback,FL05,"Lusk, Matthew Mr._2024_2",False,
Debbie Lesko,AZ,8.0,house,2024,R,8.0,H8AZ08158,"LESKO, DEBBIE",I,cand143404,H8AZ081582022,NH8AZ08158,1.355,federal:house,lesko,debbie,,,,,,"Lesko, Debbie",lesko_debbie,republican,2,general_wayback,AZ08,"Lesko, Debbie_2024_2",False,
Angie Chirino,FL,27.0,house,2024,R,27.0,H8FL27177,"CHIRINO, ANGIE",O,cand143660,H8FL271772018,NH8FL27177,1.309,federal:house,chirino,anjeanette,,,,,,"Chirino, Angie",chirino_angie,republican,2,general_wayback,FL27,"Chirino, Angie_2024_2",False,
Octavia Mrs. Coleman,GA,13.0,house,2024,D,13.0,H4GA13059,"COLEMAN, OCTAVIA MRS.",C,,,,,,,,,,,,,"Coleman, Octavia Mrs.",coleman_octavia,democrat,2,general_wayback,GA13,"Coleman, Octavia Mrs._2024_2",False,
Jo Anderson,IN,3.0,house,2024,D,3.0,H4IN03216,"ANDERSON, JO",O,,,,,,,,,,,,,"Anderson, Jo",anderson_jo,democrat,2,general_wayback,IN03,"Anderson, Jo_2024_2",False,
Kathy L Warner-Stanton,AL,5.0,house,2024,D,5.0,H2AL05177,"WARNER-STANTON, KATHY L",O,cand210697,H2AL051772022,NH2AL05177,-1.182,federal:house,warner stanton,kathy,,,,,,"Warner-Stanton, Kathy L",warnerstanton_kathy,democrat,2,general_wayback,AL05,"Warner-Stanton, Kathy L_2024_2",False,
Patrick James Briody,AZ,8.0,house,2024,R,8.0,H4AZ08173,"BRIODY, PATRICK JAMES",O,,,,,,,,,,,,,"Briody, Patrick James",briody_patrick,republican,2,general_wayback,AZ08,"Briody, Patrick James_2024_2",False,
Kyle Bone,MO,3.0,house,2024,R,3.0,H4MO03288,"BONE, KYLE",O,,,,,,,,,,,,,"Bone, Kyle",bone_kyle,republican,2,general_wayback,MO03,"Bone, Kyle_2024_2",False,
Tyler Geffeney,CA,52.0,house,2024,R,52.0,H2CA52188,"GEFFENEY, TYLER",C,cand211056,H2CA521882022,NH2CA52188,1.597,federal:house,geffeney,tyler,,,,,,"Geffeney, Tyler",geffeney_tyler,republican,2,general_wayback,CA52,"Geffeney, Tyler_2024_2",False,
Ann Roe,WI,1.0,house,2024,D,1.0,H2WI01100,"ROE, ANN",C,cand213341,H2WI011002022,NH2WI01100,-1.042,federal:house,roe,ann,,,,,,"Roe, Ann",roe_ann,democrat,2,general_wayback,WI01,"Roe, Ann_2024_2",False,
Robert Morales,NC,2.0,house,2024,R,2.0,H4NC02168,"MORALES, ROBERT",C,,,,,,,,,,,,,"Morales, Robert",morales_robert,republican,2,general_wayback,NC02,"Morales, Robert_2024_2",False,
Lalota Nick,NY,1.0,house,2024,R,1.0,H2NY01190,"NICK, LALOTA",I,cand157254,H2NY011902022,NH2NY01190,0.877,federal:house,nick,lalota,,,,,,"Nick, Lalota",nick_lalota,republican,2,general_wayback,NY01,"Nick, Lalota_2024_2",False,
John Zarbano,WI,6.0,house,2024,D,6.0,H4WI06139,"ZARBANO, JOHN",C,,,,,,,,,,,,,"Zarbano, John",zarbano_john,democrat,2,general_wayback,WI06,"Zarbano, John_2024_2",True,159042
Daniel Dart,NJ,12.0,house,2024,D,12.0,H4NJ12198,"DART, DANIEL",C,,,,,,,,,,,,,"Dart, Daniel",dart_daniel,democrat,2,general_wayback,NJ12,"Dart, Daniel_2024_2",False,
Katrina Schaffner,AZ,5.0,house,2024,D,5.0,H4AZ05112,"SCHAFFNER, KATRINA",C,,,,,,,,,,,,,"Schaffner, Katrina",schaffner_katrina,democrat,2,general_wayback,AZ05,"Schaffner, Katrina_2024_2",True,167680
John Carnan Anderson,TX,31.0,house,2024,R,31.0,H4TX31073,"ANDERSON, JOHN CARNAN",C,,,,,,,,,,,,,"Anderson, John Carnan",anderson_john,republican,2,general_wayback,TX31,"Anderson, John Carnan_2024_2",False,
Lenar Whitney,LA,6.0,house,2024,R,6.0,H4LA06179,"WHITNEY, LENAR",O,cand193552,H4LA061792016,N00036636,1.187,state:lower,whitney,lenar,,,,,,"Whitney, Lenar",whitney_lenar,republican,2,general_wayback,LA06,"Whitney, Lenar_2024_2",False,
James Myles,VA,11.0,house,2024,R,11.0,H2VA11255,"MYLES, JAMES",C,cand213269,H2VA112552022,NH2VA11255,1.461,federal:house,myles,james,,,,,,"Myles, James",myles_james,republican,2,general_wayback,VA11,"Myles, James_2024_2",False,
Gulrez Khan,TX,32.0,house,2024,R,32.0,H4TX32097,"KHAN, GULREZ",O,,,,,,,,,,,,,"Khan, Gulrez",khan_gulrez,republican,2,general_wayback,TX32,"Khan, Gulrez_2024_2",False,
Jared Golden,ME,2.0,house,2024,D,2.0,H8ME02185,"GOLDEN, JARED",I,cand141933,H8ME021852022,NH8ME02185,-0.953,federal:house,golden,jared,,,,,,"Golden, Jared",golden_jared,democrat,2,general_wayback,ME02,"Golden, Jared_2024_2",True,197151
William Aiken,NC,1.0,house,2024,R,1.0,H2NC01255,"AIKEN, WILLIAM",O,cand212108,H2NC012552022,NH2NC01255,0.107,federal:house,aiken,william,,,,,,"Aiken, William",aiken_william,republican,2,general_wayback,NC01,"Aiken, William_2024_2",False,
Patti Hewitt,GA,1.0,house,2024,D,1.0,H4GA01153,"HEWITT, PATTI",C,,,,,,,,,,,,,"Hewitt, Patti",hewitt_patti,democrat,2,general_wayback,GA01,"Hewitt, Patti_2024_2",True,135281
Gregory Hach,NY,3.0,house,2024,R,3.0,H4NY03192,"HACH, GREGORY",O,,,,,,,,,,,,,"Hach, Gregory",hach_gregory,republican,2,general_wayback,NY03,"Hach, Gregory_2024_2",False,
Debbie Dingell,MI,6.0,house,2024,D,6.0,H4MI12079,"DINGELL, DEBBIE",I,cand186651,H4MI120792022,N00036149,-0.575,federal:house,dingell,debbie,,,,,,"Dingell, Debbie",dingell_debbie,democrat,2,general_wayback,MI06,"Dingell, Debbie_2024_2",True,281162
Lou Correa,CA,46.0,house,2024,D,46.0,H6CA46116,"CORREA, LOU",I,cand103307,H6CA461162022,NH6CA46116,-0.376,federal:house,correa,lou,,,,,,"Correa, Lou",correa_lou,democrat,2,general_wayback,CA46,"Correa, Lou_2024_2",True,134013
Aaron Baker,FL,6.0,house,2024,R,6.0,H6FL06241,"BAKER, AARON",,,,,,,,,,,,,,"Baker, Aaron",baker_aaron,republican,2,general_wayback,FL06,"Baker, Aaron_2024_2",False,
Nicolas T Mr. Kimaz,FL,22.0,house,2024,R,22.0,H8FL22061,"KIMAZ, NICOLAS T MR.",C,cand143144,H8FL220612020,NH8FL22061,1.324,federal:house,kimaz,nicolas,,,,,,"Kimaz, Nicolas T Mr.",kimaz_nicolas,republican,2,general_wayback,FL22,"Kimaz, Nicolas T Mr._2024_2",False,
Jeanne Marie Hendricks,MN,6.0,house,2024,D,6.0,H2MN06214,"HENDRICKS, JEANNE MARIE",C,cand211987,H2MN062142022,NH2MN06214,-1.076,federal:house,hendricks,jeanne,,,,,,"Hendricks, Jeanne Marie",hendricks_jeanne,democrat,2,general_wayback,MN06,"Hendricks, Jeanne Marie_2024_2",False,
Deshan Levy Shultz,NV,4.0,house,2024,D,4.0,H4NV04132,"SHULTZ, DESHAN LEVY",C,,,,,,,,,,,,,"Shultz, Deshan Levy",shultz_deshan,democrat,2,general_wayback,NV04,"Shultz, Deshan Levy_2024_2",False,
Gregg Mele,NJ,6.0,house,2024,R,6.0,H2NJ06210,"MELE, GREGG",C,,,,,,,,,,,,,"Mele, Gregg",mele_gregg,republican,2,general_wayback,NJ06,"Mele, Gregg_2024_2",False,
Daniel Meuser,PA,9.0,house,2024,R,9.0,H8PA10147,"MEUSER, DANIEL",I,cand56320,H8PA101472022,NH8PA10147,0.831,federal:house,meuser,daniel,,,,,,"Meuser, Daniel",meuser_daniel,republican,2,general_wayback,PA09,"Meuser, Daniel_2024_2",True,276212
Lawrence E Milan,CA,18.0,house,2024,D,18.0,H4CA18128,"MILAN, LAWRENCE E",C,,,,,,,,,,,,,"Milan, Lawrence E",milan_lawrence,democrat,2,general_wayback,CA18,"Milan, Lawrence E_2024_2",False,
Malcolm Colombo,MD,3.0,house,2024,D,3.0,H2MD03176,"COLOMBO, MALCOLM",O,cand211803,H2MD031762022,NH2MD03176,0.002,federal:house,colombo,malcolm,,,,,,"Colombo, Malcolm",colombo_malcolm,democrat,2,general_wayback,MD03,"Colombo, Malcolm_2024_2",False,
Lacy Johnson,MN,5.0,house,2024,R,5.0,H0MN05178,"JOHNSON, LACY",C,cand149931,H0MN051782020,NH0MN05178,1.518,federal:house,johnson,lacy,,,,,,"Johnson, Lacy",johnson_lacy,republican,2,general_wayback,MN05,"Johnson, Lacy_2024_2",False,
Sea Chan,WA,9.0,house,2024,R,9.0,H2WA09156,"CHAN, SEA",C,cand213332,H2WA091562022,NH2WA09156,1.582,federal:house,chan,sea,,,,,,"Chan, Sea",chan_sea,republican,2,general_wayback,WA09,"Chan, Sea_2024_2",False,
Belinda Thomas,AL,2.0,house,2024,R,2.0,H4AL02238,"THOMAS, BELINDA",C,,,,,,,,,,,,,"Thomas, Belinda",thomas_belinda,republican,2,general_wayback,AL02,"Thomas, Belinda_2024_2",False,
Nick Langworthy,NY,23.0,house,2024,R,23.0,H2NY23228,"LANGWORTHY, NICK",I,cand157256,H2NY232282022,NH2NY23228,0.819,federal:house,langworthy,nick,,,,,,"Langworthy, Nick",langworthy_nick,republican,2,general_wayback,NY23,"Langworthy, Nick_2024_2",True,213928
David Trone,MD,6.0,house,2024,D,6.0,H6MD08549,"TRONE, DAVID",I,cand137543,H6MD085492022,NH6MD08549,-0.288,federal:house,trone,david,,,,,,"Trone, David",trone_david,democrat,2,general_wayback,MD06,"Trone, David_2024_2",False,
Tracey Lynnette Ms. Gordon,PA,3.0,house,2024,D,3.0,H4PA03125,"GORDON, TRACEY LYNNETTE MS.",C,,,,,,,,,,,,,"Gordon, Tracey Lynnette Ms.",gordon_tracey,democrat,2,general_wayback,PA03,"Gordon, Tracey Lynnette Ms._2024_2",False,
John Iii Morse,MD,3.0,house,2024,D,3.0,H4MD03255,"MORSE, JOHN III",O,,,,,,,,,,,,,"Morse, John Iii",morse_john,democrat,2,general_wayback,MD03,"Morse, John Iii_2024_2",False,
Jason Zeng,CA,11.0,house,2024,R,11.0,H4CA11172,"ZENG, JASON",C,,,,,,,,,,,,,"Zeng, Jason",zeng_jason,republican,2,general_wayback,CA11,"Zeng, Jason_2024_2",False,
Carol Murphy,NJ,3.0,house,2024,D,3.0,H4NJ03205,"MURPHY, CAROL",O,,,,,,,,,,,,,"Murphy, Carol",murphy_carol,democrat,2,general_wayback,NJ03,"Murphy, Carol_2024_2",False,
Mark Gonsalves,GA,7.0,house,2024,R,7.0,H0GA07232,"GONSALVES, MARK",C,cand148314,H0GA072322022,NH0GA07232,1.454,federal:house,gonsalves,mark,,,,,,"Gonsalves, Mark",gonsalves_mark,republican,2,general_wayback,GA07,"Gonsalves, Mark_2024_2",False,
Matthew Lynch,MA,8.0,house,2024,R,8.0,H4MA08039,"LYNCH, MATTHEW",C,,,,,,,,,,,,,"Lynch, Matthew",lynch_matthew,republican,2,general_wayback,MA08,"Lynch, Matthew_2024_2",False,
Andy Ogles,TN,5.0,house,2024,R,5.0,H2TN05446,"OGLES, ANDY",I,cand157278,H2TN054462022,NH2TN05446,1.353,federal:house,ogles,andy,,,,,,"Ogles, Andy",ogles_andy,republican,2,general_wayback,TN05,"Ogles, Andy_2024_2",True,205075
Adam Morgan,SC,4.0,house,2024,R,4.0,H4SC04093,"MORGAN, ADAM",C,,,,,,,,,,,,,"Morgan, Adam",morgan_adam,republican,2,general_wayback,SC04,"Morgan, Adam_2024_2",False,
Mark J Leyva,IN,1.0,house,2024,R,1.0,H8IN01096,"LEYVA, MARK J",C,cand155676,H8IN010962022,N00003796,1.294,federal:house,leyva,mark,,,,,,"Leyva, Mark J",leyva_mark,republican,2,general_wayback,IN01,"Leyva, Mark J_2024_2",False,
