office,year,state,roster_n,captured_n,capture_pct
house,2020,MA,59,35,59.3
house,2020,MD,69,41,59.4
house,2020,ME,14,8,57.1
house,2020,MI,95,65,68.4
house,2020,MN,70,39,55.7
house,2020,MO,45,24,53.3
house,2020,MS,23,15,65.2
house,2020,MT,14,10,71.4
house,2020,NC,114,58,50.9
house,2020,ND,7,4,57.1
house,2020,NE,10,7,70.0
house,2020,NH,26,14,53.8
house,2020,NJ,92,57,62.0
house,2020,NM,32,20,62.5
house,2020,NV,48,30,62.5
house,2020,NY,205,122,59.5
house,2020,OH,94,53,56.4
house,2020,OK,46,30,65.2
house,2020,OR,46,35,76.1
house,2020,PA,126,73,57.9
house,2020,PR,1,1,100.0
house,2020,RI,6,3,50.0
house,2020,SC,48,26,54.2
house,2020,SD,7,6,85.7
house,2020,TN,55,31,56.4
house,2020,TX,322,196,60.9
house,2020,UT,41,24,58.5
house,2020,VA,79,48,60.8
house,2020,VI,1,1,100.0
house,2020,VT,4,2,50.0
house,2020,WA,76,46,60.5
house,2020,WI,44,32,72.7
house,2020,WV,24,14,58.3
house,2020,WY,7,5,71.4
house,2022,AK,13,11,84.6
house,2022,AL,29,21,72.4
house,2022,AR,24,19,79.2
house,2022,AS,1,0,0.0
house,2022,AZ,94,52,55.3
house,2022,CA,336,215,64.0
house,2022,CO,68,45,66.2
house,2022,CT,26,18,69.2
house,2022,DC,4,1,25.0
house,2022,DE,4,3,75.0
house,2022,FL,273,185,67.8
house,2022,GA,139,82,59.0
house,2022,GU,5,2,40.0
house,2022,HI,26,16,61.5
house,2022,IA,26,20,76.9
house,2022,ID,8,7,87.5
house,2022,IL,137,93,67.9
house,2022,IN,84,46,54.8
house,2022,KS,25,10,40.0
house,2022,KY,37,29,78.4
house,2022,LA,44,28,63.6
house,2022,MA,50,24,48.0
house,2022,MD,67,43,64.2
house,2022,ME,14,8,57.1
house,2022,MI,116,68,58.6
house,2022,MN,75,36,48.0
house,2022,MO,62,40,64.5
house,2022,MS,25,15,60.0
house,2022,MT,20,15,75.0
house,2022,NC,145,88,60.7
house,2022,ND,6,1,16.7
house,2022,NE,11,8,72.7
house,2022,NH,26,14,53.8
house,2022,NJ,101,65,64.4
house,2022,NM,29,16,55.2
house,2022,NV,56,38,67.9
house,2022,NY,205,127,62.0
house,2022,OH,124,83,66.9
house,2022,OK,43,34,79.1
house,2022,OR,59,42,71.2
house,2022,PA,115,73,63.5
house,2022,PR,2,0,0.0
house,2022,RI,14,8,57.1
house,2022,SC,56,33,58.9
house,2022,SD,5,2,40.0
house,2022,TN,65,41,63.1
house,2022,TX,358,218,60.9
house,2022,UT,35,23,65.7
house,2022,VA,107,68,63.6
house,2022,VI,1,1,100.0
house,2022,VT,7,5,71.4
