candidate,state,district,office,year,party,stage,sel_date,n_snapshots_available,n_pages,page_types,urlkey,n_char,n_words
Michelle Lujan Grisham,NM,1.0,house,2018,D,2,20180521022927,11,1,homepage,http://www.michellelujangrisham.com,338,46
Barbara A Seidman,GA,1.0,house,2018,D,2,20180102163407,4,2,homepage;other,https://www.electseidman.com,9210,1116
Allen L Ellison,FL,17.0,house,2018,D,2,20181022232831,4,8,action;homepage;issues;other,https://www.ellisonforcongress.com,22918,2841
Gregory P. Mr. Walden,OR,2.0,house,2018,R,2,20181223160521,15,15,action;homepage;news;other,https://www.gregwalden.com,44598,6413
Lisa M. Ring,GA,1.0,house,2018,D,2,20180925121323,43,2,homepage;other,https://www.lisaringforcongress.com,7158,766
Vivian M Viloria-Fisher,NY,1.0,house,2018,D,2,20181110112549,9,1,homepage,https://vivianforlongisland.org,3759,537
Steve Mr. Stivers,OH,15.0,house,2018,R,2,20181207100733,77,11,constituent_services;homepage;issues;other,http://stivers.house.gov,34310,3853
Shannon Hader,WA,8.0,house,2018,D,2,20181110111454,113,27,biography;endorsements;homepage;news;other,https://www.drshannonforcongress.com,143025,19421
Jeff Scott,GA,9.0,house,2018,D,2,20180806011916,1,1,homepage,https://www.electjeffscott.com,1022,77
Tammy Baldwin,WI,2.0,house,2018,D,2,20180827171717,54,29,action;biography;homepage;issues;other,https://www.tammybaldwin.com,101865,13842
Michael Gilmore,MI,13.0,house,2018,D,2,20181119091350,6,4,biography;homepage;news,https://www.michaelgilmore.org,7610,1036
Les Murphy,SC,5.0,house,2018,D,2,20180118040243,3,1,homepage,https://www.lesmurphy.org,444,39
Colin James Minehart,MN,1.0,house,2018,D,2,20181129132357,10,9,biography;homepage;issues;news;other,https://minehartforcongress.com,11492,1635
Gwen Graham,FL,2.0,house,2018,D,2,20180101171944,4,3,homepage;news;other,http://www.gwengraham.com,13218,1968
Paul Raymond Babeu,AZ,1.0,house,2018,R,2,20180928121159,17,1,homepage,http://www.sheriffpaul.com/,1279,138
Steve Knight,CA,25.0,house,2018,R,2,20181121174615,55,17,action;endorsements;homepage;other,https://www.steveknight.org,46667,6351
Gavin Clarkson,NM,2.0,house,2018,R,2,20181107032628,5,4,homepage;other,https://gavinclarkson.com,20147,1975
Francis J Person,SC,5.0,house,2018,D,2,20181229081833,15,6,biography;homepage;issues;news;other,http://www.personforcongress.com,42293,6181
Scott Hammond,NV,3.0,house,2018,R,2,20181221104458,38,10,action;biography;endorsements;homepage;other,https://hammondforcongress.us,13477,1552
Richard Dupont,CT,5.0,house,2018,R,2,20181119053645,3,2,homepage;issues,https://www.dupontforcongress.com,8069,1177
