candidate,state,district,office,year,party,website_url,has_url,captured
Aaron Storer,IN,01,house,2024,R,https://aaronstorerforcongress.com,True,False
Aaron Sutton,AZ,06,house,2020,D,https://www.suttonforcongress.com,True,True
Aaron Walter Fraser,NJ,10,house,2018,D,https://fraser2018.org,True,False
Aaron Walter Fraser,NJ,10,house,2020,D,https://fraser2018.org,True,False
Abbie Hodgson,KS,02,house,2020,D,https://abbieforcongress.com,True,False
Abby Broyles,OK,05,house,2022,D,https://www.abbybroyles.com,True,True
Abby Broyles,OK,05,house,2024,D,https://www.abbybroyles.com,True,True
Abby Broyles,OK,00,senate,2020,D,https://www.abbybroyles.com,True,True
Abby Broyles,OK,00,senate,2022,D,https://www.abbybroyles.com,True,True
Abby Broyles,OK,00,senate,2024,D,https://www.abbybroyles.com,True,True
Abby Finkenauer,IA,01,house,2018,D,https://abbyfinkenauer.com,True,True
Abby Finkenauer,IA,01,house,2020,D,https://abbyfinkenauer.com,True,True
Abby Finkenauer,IA,01,house,2022,D,https://abbyfinkenauer.com,True,True
Abby Finkenauer,IA,01,house,2024,D,https://abbyfinkenauer.com,True,True
Abby Finkenauer,IA,00,senate,2022,D,https://abbyfinkenauer.com,True,True
Abby Finkenauer,IA,00,senate,2024,D,https://abbyfinkenauer.com,True,True
Abdur R Dr Sikder,CA,12,house,2024,D,https://drsikderforcongress.com,True,True
Abe Jamie Garcia,NY,08,house,2020,D,https://www.abejgarciaforcongress.com,True,False
Abe Jamie Garcia,NY,08,house,2022,D,https://www.abejgarciaforcongress.com,True,False
Abe Jamie Garcia,NY,08,house,2024,D,https://www.abejgarciaforcongress.com,True,False
Abel Mulugheta,TX,30,house,2022,D,https://www.abelfortexas.com,True,False
Abhijit Beej Das,MA,03,house,2018,D,https://www.dasforcongress.com,True,False
Abhijit Beej Das,MA,03,house,2020,D,https://www.dasforcongress.com,True,False
Abhijit Beej Das,MA,03,house,2022,D,https://www.dasforcongress.com,True,False
Abhijit Beej Das,MA,03,house,2024,D,https://www.dasforcongress.com,True,False
Abhiram Garapati,TX,31,house,2020,R,https://www.garapatifortexas.com,True,False
Abhiram Garapati,TX,31,house,2022,R,https://www.garapatifortexas.com,True,True
Abhiram Garapati,TX,31,house,2024,R,https://www.garapatifortexas.com,True,True
Abigail Spanberger,VA,07,house,2018,D,https://abigailspanberger.com/,True,True
Abigail Spanberger,VA,07,house,2020,D,https://abigailspanberger.com/,True,True
Abigail Spanberger,VA,07,house,2022,D,https://abigailspanberger.com/,True,True
Abigail Spanberger,VA,07,house,2024,D,https://abigailspanberger.com/,True,True
