candidate,state,district,office,year,party,stage,sel_date,n_snapshots_available,n_pages,page_types,urlkey,n_char,n_words,text_quality,candidate_icpsr,name_key,candidate_year_stage,cand_id,bonica_rid,ICPSR,NID,cand_ici,party_icpsr,district_num,district_id,seat,data_source,cfscore,cfscore_dyn,dwnom1,dwnom2
Martin T Meehan,MA,5.0,house,2018,D,2,20180523043935,1,1,homepage,https://www.martymeehan.com,93,14,empty,"Meehan, Martin T",meehan_martin,"Meehan, Martin T_2018_2",H2MA05054,cand1297,293582008,N00000205,C,democrat,5.0,MA05,federal:house,general_wayback,-0.6,,,
Adolfo Areola Zubia,NM,2.0,house,2018,D,2,20180102113952,1,1,homepage,https://zubiaforcongress.com,88,12,empty,"Zubia, Adolfo Areola",zubia_adolfo,"Zubia, Adolfo Areola_2018_2",H8NM02164,cand141651,H8NM021642018,NH8NM02164,O,democrat,2.0,NM02,federal:house,general_wayback,-1.116,-1.116,,
Sanford D Bishop,GA,2.0,house,2018,D,2,20181118184930,13,7,homepage;issues;other,https://sanfordbishop.com,40258,5616,usable,"Bishop, Sanford D",bishop_sanford,"Bishop, Sanford D_2018_2",H2GA02031,cand1278,293392022,N00002674,I,democrat,2.0,GA02,federal:house,general_wayback,-0.211,-0.207,-0.284,0.455
Chris Rieger,PA,16.0,house,2018,D,2,20181221235502,19,6,action;homepage;issues;news;other,https://www.riegerforpa.com,43926,6809,usable,"Rieger, Chris",rieger_chris,"Rieger, Chris_2018_2",H8PA03126,cand141678,H8PA031262018,NH8PA03126,C,democrat,16.0,PA16,federal:house,general_wayback,-1.023,-1.023,,
Sue Googe,NC,4.0,house,2018,R,2,20181119154422,1,1,homepage,https://suegooge.com,397,38,thin,"Googe, Sue",googe_sue,"Googe, Sue_2018_2",H6NC04151,cand134778,H6NC041512016,NH6NC04151,C,republican,4.0,NC04,federal:house,general_wayback,0.907,,,
Robert Bishop,UT,1.0,house,2018,R,2,20181114042151,5,6,action;biography;homepage;issues;news;other,https://www.votebishop.com,6566,904,usable,"Bishop, Robert",bishop_robert,"Bishop, Robert_2018_2",H2UT01094,cand923,203572020,N00025292,I,republican,1.0,UT01,federal:house,general_wayback,0.88,0.802,0.537,0.105
Benjamin Niel Cullop,VA,5.0,house,2018,D,2,20180828181014,13,1,homepage,https://www.cullopforcongress.com,2092,291,usable,"Cullop, Benjamin Niel",cullop_benjamin,"Cullop, Benjamin Niel_2018_2",H8VA05148,cand141263,H8VA051482018,NH8VA05148,O,democrat,5.0,VA05,federal:house,general_wayback,-0.737,-0.737,,
Judith L Herschel,PA,10.0,house,2018,D,2,20180514094010,1,2,homepage,https://jhcampaign.com,5088,651,usable,"Herschel, Judith L",herschel_judith,"Herschel, Judith L_2018_2",H8PA10170,cand141207,H8PA101702018,NH8PA10170,C,democrat,10.0,PA10,federal:house,general_wayback,-1.088,-1.088,,
Andre Bauer,SC,0.0,house,2018,R,2,20181118111914,12,22,action;homepage;issues;news;other,https://andrebauer.com,80988,10518,usable,"Bauer, Andre",bauer_andre,"Bauer, Andre_2018_2",H2SC00020,cand44607,H2SC000202016,N00033656,C,republican,0.0,SC01,federal:house,general_wayback,1.021,,,
Marty Mr. Nothstein,PA,7.0,house,2018,R,2,20181116132943,105,1,homepage,http://www.martyforpa.com,494,35,thin,"Nothstein, Marty Mr.",nothstein_marty,"Nothstein, Marty Mr._2018_2",H8PA15245,cand142742,H8PA152452018,NH8PA15245,O,republican,7.0,PA07,federal:house,general_wayback,1.164,,,
Mindi Messmer,NH,1.0,house,2018,D,2,20180118132210,13,1,homepage,http://www.mindiforcongress.com,14522,2218,usable,"Messmer, Mindi",messmer_mindi,"Messmer, Mindi_2018_2",H8NH01202,cand142566,H8NH012022018,NH8NH01202,O,democrat,1.0,NH01,federal:house,general_wayback,-1.135,-1.13,,
J. Randy Forbes,VA,4.0,house,2018,R,2,20181114205641,2,1,homepage,https://www.randyforbes.com,349,49,thin,"Forbes, J. Randy",forbes_j,"Forbes, J. Randy_2018_2",H2VA04052,cand863,201432018,N00013799,I,republican,4.0,VA04,federal:house,general_wayback,0.976,,,
Dean Malik,PA,8.0,house,2018,R,2,20180322030127,1,2,homepage;other,http://www.deanmalik2016.com/,5231,444,usable,"Malik, Dean",malik_dean,"Malik, Dean_2018_2",H0PA08122,cand38963,H0PA081222010,N00031530,C,republican,8.0,PA08,federal:house,general_wayback,0.515,,,
Tony Cardenas,CA,29.0,house,2018,D,2,20180819214556,9,12,action;biography;constituent_services;homepage;issues;news;other,https://www.tonycardenasforcongress.com,28014,3935,usable,"Cardenas, Tony",cardenas_tony,"Cardenas, Tony_2018_2",H2CA28113,cand40734,H2CA281132022,N00033373,I,democrat,29.0,CA29,federal:house,general_wayback,-0.476,-0.529,-0.393,-0.004
Lavern Vivio,TN,6.0,house,2018,R,2,20180729072019,4,1,homepage,https://lavernvivio.com,404,34,empty,"Vivio, Lavern",vivio_lavern,"Vivio, Lavern_2018_2",H8TN06151,cand145267,H8TN061512018,NH8TN06151,O,republican,6.0,TN06,federal:house,general_wayback,1.552,1.552,,
Louise Slaughter,NY,25.0,house,2018,D,2,20180225072255,15,1,homepage,http://votelouise.com,1323,119,thin,"Slaughter, Louise",slaughter_louise,"Slaughter, Louise_2018_2",H6NY03031,cand756,154442018,N00001311,I,democrat,25.0,NY25,federal:house,general_wayback,-0.799,-0.85,-0.465,-0.104
Paul Iii Mitchell,MI,10.0,house,2018,R,2,20180308030207,17,26,action;biography;homepage;issues;news;other,http://paulmitchellforcongress.com/,79732,8782,usable,"Mitchell, Paul Iii",mitchell_paul,"Mitchell, Paul Iii_2018_2",H4MI04118,cand191152,H4MI041182020,N00036274,I,republican,10.0,MI10,federal:house,general_wayback,1.054,0.911,0.422,0.311
Bryan George Steil,WI,1.0,house,2018,R,2,20180614231109,33,6,action;biography;homepage;issues;news;other,https://www.steilforwisconsin.com/,30565,4466,usable,"Steil, Bryan George",steil_bryan,"Steil, Bryan George_2018_2",H8WI01156,cand145930,H8WI011562022,NH8WI01156,O,republican,1.0,WI01,federal:house,general_wayback,1.284,1.338,0.414,0.066
David Hughes,MN,7.0,house,2018,R,2,20181017145133,13,4,action;homepage;other,https://www.hughesforcongress.us,7165,884,usable,"Hughes, David",hughes_david,"Hughes, David_2018_2",H6MN07304,cand137559,H6MN073042020,NH6MN07304,C,republican,7.0,MN07,federal:house,general_wayback,1.488,1.48,,
Troy Balderson,OH,12.0,house,2018,R,2,20180418123131,31,2,homepage,https://baldersonforcongress.com,13642,1446,usable,"Balderson, Troy",balderson_troy,"Balderson, Troy_2018_2",H8OH12180,cand143226,H8OH121802022,NH8OH12180,I,republican,12.0,OH12,federal:house,general_wayback,0.928,0.971,0.456,0.209
Kevin Midbust,WA,4.0,house,2018,R,2,20180805120046,1,11,homepage;other,https://www.kevinmidbust.com,36632,5624,usable,"Midbust, Kevin",midbust_kevin,"Midbust, Kevin_2018_2",H4WA04146,,,,O,republican,4.0,WA04,,general_wayback,,,,
Hank Linderman,KY,2.0,house,2018,D,2,20180815113932,30,13,biography;homepage;issues;other,https://hank4ky.com,32407,3462,usable,"Linderman, Hank",linderman_hank,"Linderman, Hank_2018_2",H8KY02080,cand144066,H8KY020802022,NH8KY02080,C,democrat,2.0,KY02,federal:house,general_wayback,-0.985,-0.977,,
Chris Larson,MI,2.0,house,2018,R,2,20181203023554,3,1,homepage,https://www.chris4congress.com,1153,165,thin,"Larson, Chris",larson_chris,"Larson, Chris_2018_2",H0MI02177,,,,O,republican,2.0,MI02,,general_wayback,,,,
Charles Wesley (Casper) Stockham,CO,1.0,house,2018,R,2,20181017144607,22,17,action;biography;homepage;news;other,https://www.casperforcolorado.com,55975,7597,usable,"Stockham, Charles Wesley (Casper)",stockham_charles,"Stockham, Charles Wesley (Casper)_2018_2",H6CO01208,cand130255,H6CO012082016,NH6CO01208,C,republican,1.0,CO01,federal:house,general_wayback,1.607,,,
Doug Lamalfa,CA,1.0,house,2018,R,2,20181222131711,27,14,biography;endorsements;homepage;news;other,https://www.douglamalfa.com,43555,5438,usable,"Lamalfa, Doug",lamalfa_doug,"Lamalfa, Doug_2018_2",H2CA02142,cand28663,H2CA021422022,N00033987,I,republican,1.0,CA01,federal:house,general_wayback,0.999,1.008,0.538,0.028
Martha Walters,CA,1.0,house,2018,D,2,20180330064643,17,1,homepage,http://www.martywalters.com/,2957,395,usable,"Walters, Martha",walters_martha,"Walters, Martha_2018_2",H8CA01208,cand140525,H8CA012082018,NH8CA01208,C,democrat,1.0,CA01,federal:house,general_wayback,-1.252,-1.252,,
Joseph Radinovich,MN,8.0,house,2018,D,2,20180730204832,9,3,homepage;issues;news,https://www.joeradinovich.com,9019,1333,usable,"Radinovich, Joseph",radinovich_joseph,"Radinovich, Joseph_2018_2",H8MN08068,cand144689,H8MN080682018,NH8MN08068,O,democrat,8.0,MN08,federal:house,general_wayback,-0.999,-1.056,,
Theresa Gasper,OH,10.0,house,2018,D,2,20181203185744,40,7,biography;endorsements;homepage;issues;news;other,https://www.gasperforcongress.com/,11741,1580,usable,"Gasper, Theresa",gasper_theresa,"Gasper, Theresa_2018_2",H8OH10119,cand144156,H8OH101192020,NH8OH10119,C,democrat,10.0,OH10,federal:house,general_wayback,-0.979,-1.047,,
James E Banks,IN,3.0,house,2018,R,2,20180102214633,34,3,homepage;issues;other,https://www.jimbanks.us,14716,2038,usable,"Banks, James E",banks_james,"Banks, James E_2018_2",H6IN03229,cand104018,H6IN032292022,NH6IN03229,I,republican,3.0,IN03,federal:house,general_wayback,1.305,1.274,0.652,0.065
Jay K Love,AL,2.0,house,2018,R,2,20181020120610,1,3,biography;homepage;other,https://jayloveforcongress.com,6884,900,usable,"Love, Jay K",love_jay,"Love, Jay K_2018_2",H8AL02080,cand53279,H8AL020802012,N00029461,O,republican,2.0,AL02,federal:house,general_wayback,1.044,,,
Brian Thomas Fitzherbert,NJ,2.0,house,2018,R,2,20181120042056,4,6,biography;homepage;news;other,https://fitzherbertforcongress.com,38305,5813,usable,"Fitzherbert, Brian Thomas",fitzherbert_brian,"Fitzherbert, Brian Thomas_2018_2",H8NJ02182,cand144126,H8NJ021822020,NH8NJ02182,O,republican,2.0,NJ02,federal:house,general_wayback,0.969,1.133,,
Alan Mark Grayson,FL,9.0,house,2018,D,2,20181108170407,4,13,biography;homepage;other,https://www.graysonforcongress.com,32840,4669,usable,"Grayson, Alan Mark",grayson_alan,"Grayson, Alan Mark_2018_2",H6FL08213,cand1035,209082022,N00028418,C,democrat,9.0,FL09,federal:house,general_wayback,-1.095,-1.087,-0.363,-0.457
Jon Runyan,NJ,3.0,house,2018,R,2,20180926184938,3,6,homepage;news;other,http://runyanforcongress.com,24590,3776,usable,"Runyan, Jon",runyan_jon,"Runyan, Jon_2018_2",H0NJ03153,cand1143,H0NJ031532014,N00031988,C,republican,3.0,NJ03,federal:house,general_wayback,0.653,,,
W. Greg Steube,FL,17.0,house,2018,R,2,20180826071518,8,1,homepage,https://www.electgregsteube.com/,7287,972,usable,"Steube, W. Greg",steube_w,"Steube, W. Greg_2018_2",H8FL17053,cand144621,H8FL170532022,NH8FL17053,O,republican,17.0,FL17,federal:house,general_wayback,1.183,1.198,0.691,-0.279
Matt Longjohn,MI,6.0,house,2018,D,2,20181128035854,11,17,action;endorsements;homepage;news;other,http://www.mattlongjohnforcongress.com,47820,6084,usable,"Longjohn, Matt",longjohn_matt,"Longjohn, Matt_2018_2",H8MI06155,cand141615,H8MI061552018,NH8MI06155,C,democrat,6.0,MI06,federal:house,general_wayback,-1.088,-1.137,,
Patrick Munro,MN,6.0,house,2018,R,2,20180709215634,1,2,homepage,https://gowithmunro.com,1489,210,empty,"Munro, Patrick",munro_patrick,"Munro, Patrick_2018_2",H6MN06199,,,,C,republican,6.0,MN06,,general_wayback,,,,
Stefan G Strek,OR,4.0,house,2018,R,2,20181209050223,14,5,homepage;other,https://www.votestrek.com,18051,2530,usable,"Strek, Stefan G",strek_stefan,"Strek, Stefan G_2018_2",H8OR04175,,,,C,republican,4.0,OR04,,general_wayback,,,,
Michael Rogers,AL,3.0,house,2018,R,2,20180906154248,22,1,homepage,https://www.mikerogersforcongress.com,1346,146,thin,"Rogers, Michael",rogers_michael,"Rogers, Michael_2018_2",H2AL03032,cand869,203012022,N00024759,I,republican,3.0,AL03,federal:house,general_wayback,1.05,1.038,0.377,0.388
Jerome Leander Tilghman,TX,16.0,house,2018,D,2,20180214190835,4,5,homepage;issues;other,https://www.votefortilghman.com,14819,1872,usable,"Tilghman, Jerome Leander",tilghman_jerome,"Tilghman, Jerome Leander_2018_2",H2TX16227,,,,O,democrat,16.0,TX16,,general_wayback,,,,
Mark Allen Callahan,OR,5.0,house,2018,R,2,20180116193447,10,7,homepage;issues;other,http://www.callahanfororegon.com,12961,1726,usable,"Callahan, Mark Allen",callahan_mark,"Callahan, Mark Allen_2018_2",H8OR05198,cand141677,H8OR051982018,NH8OR05198,C,republican,5.0,OR05,federal:house,general_wayback,1.606,1.606,,
David Alan Mr. Brat,VA,7.0,house,2018,R,2,20181003092432,116,20,action;biography;homepage;issues;news;other,http://davebrat.com/,63717,7802,usable,"Brat, David Alan Mr.",brat_david,"Brat, David Alan Mr._2018_2",H4VA07143,cand143622,H4VA071432020,N00036013,I,republican,7.0,VA07,federal:house,general_wayback,1.397,1.418,0.829,-0.325
Doris Matsui,CA,6.0,house,2018,D,2,20180207143713,27,1,homepage,http://www.matsuiforcongress.com,3312,406,usable,"Matsui, Doris",matsui_doris,"Matsui, Doris_2018_2",H6CA05195,cand121877,146492022,N00027459,I,democrat,6.0,CA06,federal:house,general_wayback,-0.665,-0.711,-0.435,-0.148
Josh Butner,CA,50.0,house,2018,D,2,20180425174340,4,1,homepage,https://joshbutnerforcongress.com/,1764,249,usable,"Butner, Josh",butner_josh,"Butner, Josh_2018_2",H8CA50106,cand140567,H8CA501062018,NH8CA50106,C,democrat,50.0,CA50,federal:house,general_wayback,-0.943,-0.943,,
Randy Mack Dr. Wadkins,MS,1.0,house,2018,D,2,20181023201929,4,6,action;biography;homepage;issues;news;other,https://www.wadkinsforcongress.com/,11241,1466,usable,"Wadkins, Randy Mack Dr.",wadkins_randy,"Wadkins, Randy Mack Dr._2018_2",H8MS01145,cand140654,H8MS011452020,NH8MS01145,C,democrat,1.0,MS01,federal:house,general_wayback,-1.228,-1.276,,
Lee Thomas Dr. Jr. Keenen,TX,23.0,house,2018,D,2,20180419203232,1,1,homepage,https://www.keenenforcongress.com,237,26,thin,"Keenen, Lee Thomas Dr. Jr.",keenen_lee,"Keenen, Lee Thomas Dr. Jr._2018_2",H6TX23190,,,,C,democrat,23.0,TX23,,general_wayback,,,,
Henry R. Cuellar,TX,28.0,house,2018,D,2,20180102084751,2,1,homepage,https://www.henrycuellar.com,2184,258,usable,"Cuellar, Henry R.",cuellar_henry,"Cuellar, Henry R._2018_2",H2TX23082,cand956,205332022,N00024978,I,democrat,28.0,TX28,federal:house,general_wayback,0.328,0.426,-0.228,0.622
Andre D. Carson,IN,6.0,house,2018,D,2,20180713075250,94,4,biography;homepage;news;other,http://carson.house.gov,17305,1881,usable,"Carson, Andre D.",carson_andre,"Carson, Andre D._2018_2",H8IN06194,,,,O,democrat,6.0,IN06,,general_wayback,,,,
Hayden Catherine Shamel,AR,4.0,house,2018,D,2,20181023200017,4,6,action;biography;homepage;issues;other,https://www.haydenforcongress.com,13393,1885,usable,"Shamel, Hayden Catherine",shamel_hayden,"Shamel, Hayden Catherine_2018_2",H8AR04130,cand142381,H8AR041302018,NH8AR04130,C,democrat,4.0,AR04,federal:house,general_wayback,-1.073,-1.137,,
Jordan Brown,SC,4.0,house,2018,R,2,20180522234119,4,1,homepage,https://jordanbrownforcongress.com,3971,557,usable,"Brown, Jordan",brown_jordan,"Brown, Jordan_2018_2",H8SC04268,,,,O,republican,4.0,SC04,,general_wayback,,,,
Brian Phillip Bilbray,CA,52.0,house,2018,R,2,20180316093133,1,1,homepage,https://www.bilbrayforcongress.com,94,8,empty,"Bilbray, Brian Phillip",bilbray_brian,"Bilbray, Brian Phillip_2018_2",H4CA49032,cand1345,295082012,N00006981,C,republican,52.0,CA52,federal:house,general_wayback,1.076,,,
Bopha Malone,MA,3.0,house,2018,D,2,20180824062440,2,2,biography;homepage,https://bophaforcongress.com/,4762,656,usable,"Malone, Bopha",malone_bopha,"Malone, Bopha_2018_2",H8MA03213,cand143667,H8MA032132018,NH8MA03213,O,democrat,3.0,MA03,federal:house,general_wayback,-0.778,-0.778,,
Scott Baugh,CA,48.0,house,2018,R,2,20180331044953,1,1,homepage,https://www.baugh4congress.com,627,62,empty,"Baugh, Scott",baugh_scott,"Baugh, Scott_2018_2",H6CA48245,cand137435,H6CA482452020,NH6CA48245,C,republican,48.0,CA48,federal:house,general_wayback,1.012,1.072,,
Catherine Louise Ping,IN,7.0,house,2018,R,2,20181213120020,10,5,homepage;other,https://www.catping.com,10008,1452,usable,"Ping, Catherine Louise ""Cat""",ping_catherine,"Ping, Catherine Louise ""Cat""_2018_2",H8IN07259,cand54552,H8IN072592016,N00030005,C,republican,7.0,IN07,federal:house,general_wayback,1.492,,,
Jesus Garcia,IL,4.0,house,2018,D,2,20181116115119,26,6,action;homepage;news;other,https://jesuschuygarcia.com,13600,2017,usable,"Garcia, Jesus",garcia_jesus,"Garcia, Jesus_2018_2",H8IL04134,cand143155,H8IL041342022,NH8IL04134,O,democrat,4.0,IL04,federal:house,general_wayback,-0.804,-0.852,-0.428,-0.901
Elizabeth Esty,CT,5.0,house,2018,D,2,20180102161154,11,29,action;biography;homepage;issues;news;other,http://www.elizabethesty.com,105120,12601,usable,"Esty, Elizabeth",esty_elizabeth,"Esty, Elizabeth_2018_2",H2CT05131,cand41261,H2CT051312018,N00033217,I,democrat,5.0,CT05,federal:house,general_wayback,-0.932,-0.943,-0.315,-0.078
Kurt Jetta,FL,21.0,house,2018,R,2,20180117230816,2,4,action;biography;homepage;issues,https://www.kurtjetta.com,10148,1453,usable,"Jetta, Kurt",jetta_kurt,"Jetta, Kurt_2018_2",H8FL21055,cand142450,H8FL210552018,NH8FL21055,C,republican,21.0,FL21,federal:house,general_wayback,0.702,0.702,,
Dana Cottrell,FL,11.0,house,2018,D,2,20181220033921,1,15,action;biography;homepage;issues;news;other,https://dana2020.com,40443,5217,usable,"Cottrell, Dana",cottrell_dana,"Cottrell, Dana_2018_2",H8FL11130,cand144617,H8FL111302020,NH8FL11130,C,democrat,11.0,FL11,federal:house,general_wayback,-1.18,-1.179,,
Gary Palmer,AL,6.0,house,2018,R,2,20180617093121,8,20,action;biography;homepage;issues;news;other,https://www.palmerforalabama.com,46887,6013,usable,"Palmer, Gary",palmer_gary,"Palmer, Gary_2018_2",H4AL06098,cand143041,H4AL060982022,N00035691,I,republican,6.0,AL06,federal:house,general_wayback,1.281,1.247,0.678,0.104
Anne Messenger,NY,24.0,house,2018,D,2,20180216002433,3,1,homepage,https://www.messengerforcongress.com,6930,997,usable,"Messenger, Anne",messenger_anne,"Messenger, Anne_2018_2",H8NY24082,cand141670,H8NY240822018,NH8NY24082,C,democrat,24.0,NY24,federal:house,general_wayback,-0.764,-0.764,,
Cory Gardner,CO,4.0,house,2018,R,2,20181220155732,1,1,homepage,https://www.corygardner.com,78,13,empty,"Gardner, Cory",gardner_cory,"Gardner, Cory_2018_2",H0CO04122,cand1103,H0CO041222012,N00030780,C,republican,4.0,CO04,federal:house,general_wayback,1.25,,,
John Suddarth,VA,1.0,house,2018,D,2,20180614075456,11,2,homepage;other,https://suddarthforcongress.com,14019,1803,usable,"Suddarth, John",suddarth_john,"Suddarth, John_2018_2",H8VA01295,cand142806,H8VA012952018,NH8VA01295,C,democrat,1.0,VA01,federal:house,general_wayback,-1.153,-1.153,,
Alan Lowenthal,CA,47.0,house,2018,D,2,20181114182900,87,3,homepage;other,http://lowenthal.house.gov/,16903,1866,usable,"Lowenthal, Alan",lowenthal_alan,"Lowenthal, Alan_2018_2",H2CA00104,cand40366,H2CA001042022,N00033274,I,democrat,47.0,CA47,federal:house,general_wayback,-0.725,-0.705,-0.449,-0.384
Spencer Collins Morgan,AZ,5.0,house,2018,D,2,20180330052714,1,1,homepage,http://morganforcongress.org,11795,1685,usable,"Morgan, Spencer Collins",morgan_spencer,"Morgan, Spencer Collins_2018_2",H2AZ05140,cand40304,H2AZ051402012,N00033732,C,democrat,5.0,AZ05,federal:house,general_wayback,-1.032,,,
Debbie Wasserman Schultz,FL,23.0,house,2018,D,2,20180421163241,4,1,homepage,https://www.dwsforcongress.com,4832,591,usable,"Wasserman Schultz, Debbie",wassermanschultz_debbie,"Wasserman Schultz, Debbie_2018_2",H4FL20023,cand927,205042022,N00026106,I,democrat,23.0,FL23,federal:house,general_wayback,-0.591,-0.702,-0.418,0.086
Dusty Johnson,SD,0.0,house,2018,R,2,20181023220409,4,8,action;biography;homepage;issues;other,https://www.dustyjohnson.com,15387,2370,usable,"Johnson, Dusty",johnson_dusty,"Johnson, Dusty_2018_2",H8SD01055,cand139818,H8SD010552022,NH8SD01055,O,republican,0.0,SD01,federal:house,general_wayback,1.228,1.291,0.462,0.136
Lois J. Frankel,FL,21.0,house,2018,D,2,20180824104015,9,4,action;biography;homepage;other,http://www.loisfrankelforcongress.com,4115,536,usable,"Frankel, Lois J.",frankel_lois,"Frankel, Lois J._2018_2",H2FL14053,cand41479,H2FL140532022,N00002893,I,democrat,21.0,FL21,federal:house,general_wayback,-0.661,-0.607,-0.4,-0.056
Bradley Scott Schneider,IL,10.0,house,2018,D,2,20180224062231,21,3,homepage;other,http://www.schneiderforcongress.com,9922,1338,usable,"Schneider, Bradley Scott",schneider_bradley,"Schneider, Bradley Scott_2018_2",H2IL10068,cand41950,H2IL100682022,N00033101,I,democrat,10.0,IL10,federal:house,general_wayback,-0.825,-0.848,-0.187,-0.141
Mark-Christian Anthony Aubin,NY,11.0,house,2018,R,2,20180506131025,3,1,homepage,https://aubinfoundation.org,3101,460,usable,"Aubin, Mark-Christian Anthony",aubin_markchristian,"Aubin, Mark-Christian Anthony_2018_2",H8NY11147,,,,C,republican,11.0,NY11,,general_wayback,,,,
Princella D Smith,AR,1.0,house,2018,R,2,20181206020014,5,11,homepage;other,https://www.princellasmith.com,50388,7893,usable,"Smith, Princella D",smith_princella,"Smith, Princella D_2018_2",H0AR01125,cand34887,H0AR011252014,N00031849,O,republican,1.0,AR01,federal:house,general_wayback,1.117,,,
Paul David Tonko,NY,20.0,house,2018,D,2,20180911170445,16,2,homepage,http://www.paultonko.com,6235,706,usable,"Tonko, Paul David",tonko_paul,"Tonko, Paul David_2018_2",H8NY21203,cand1061,209342022,N00030196,I,democrat,20.0,NY20,federal:house,general_wayback,-0.693,-0.81,-0.418,-0.261
Daniel Jacob Epstein,TX,19.0,house,2018,D,2,20180307224551,2,3,homepage;other,https://danepsteinforwesttexas.com,16739,2509,usable,"Epstein, Daniel Jacob",epstein_daniel,"Epstein, Daniel Jacob_2018_2",H8TX19103,cand140749,H8TX191032018,NH8TX19103,C,democrat,19.0,TX19,federal:house,general_wayback,-1.145,-1.145,,
Joe Edward Collins,CA,43.0,house,2018,D,2,20180311140800,1,1,homepage,https://www.collins4congress.com,1077,150,empty,"Collins, Joe Edward",collins_joe,"Collins, Joe Edward_2018_2",H8CA43168,,,,C,democrat,43.0,CA43,,general_wayback,,,,
Elaine Luria,VA,2.0,house,2018,D,2,20181107064418,134,6,endorsements;homepage;news;other,https://elaineforcongress.com,43710,6233,usable,"Luria, Elaine",luria_elaine,"Luria, Elaine_2018_2",H8VA02111,cand143692,H8VA021112022,NH8VA02111,C,democrat,2.0,VA02,federal:house,general_wayback,-0.863,-0.945,-0.206,0.426
Chris Pappas,NH,1.0,house,2018,D,2,20180617115438,15,3,homepage;other,https://www.chrispappas.org,4496,641,usable,"Pappas, Chris",pappas_chris,"Pappas, Chris_2018_2",H8NH01210,cand142567,H8NH012102022,NH8NH01210,O,democrat,1.0,NH01,federal:house,general_wayback,-0.944,-0.948,-0.249,0.367
Harry Arora,CT,4.0,house,2018,R,2,20181023200223,10,10,action;biography;homepage;issues;news;other,https://harryforct.com,17275,2177,usable,"Arora, Harry",arora_harry,"Arora, Harry_2018_2",H8CT04214,cand143656,CT557617132022,CT55761713,C,republican,4.0,CT04,state:treasurer,general_wayback,0.724,0.623,,
Jason Leineweber,IN,9.0,house,2018,D,2,20180203190131,2,1,homepage,https://jasonforindiana.com,440,50,thin,"Leineweber, Jason",leineweber_jason,"Leineweber, Jason_2018_2",H8IN09073,,,,C,democrat,9.0,IN09,,general_wayback,,,,
Henry Robert Martin,MO,6.0,house,2018,D,2,20180102100230,9,3,homepage;other,https://henrymartinforcongress.com,5344,580,usable,"Martin, Henry Robert",martin_henry,"Martin, Henry Robert_2018_2",H8MO06092,cand142542,H8MO060922022,NH8MO06092,C,democrat,6.0,MO06,federal:house,general_wayback,-1.108,-1.119,,
Craig Keller,WA,7.0,house,2018,R,2,20181119034332,28,5,homepage;other,https://www.keller4america.us,15781,2141,usable,"Keller, Craig",keller_craig,"Keller, Craig_2018_2",H4WA07073,cand193644,H4WA070732018,N00036659,C,republican,7.0,WA07,federal:house,general_wayback,1.485,1.514,,
Matt Cartwright,PA,8.0,house,2018,D,2,20181003131206,96,14,action;biography;homepage;other,http://www.cartwrightcongress.com,25256,2976,usable,"Cartwright, Matt",cartwright_matt,"Cartwright, Matt_2018_2",H2PA17079,cand44515,H2PA170792022,N00034128,I,democrat,8.0,PA08,federal:house,general_wayback,-0.83,-0.774,-0.356,-0.006
Guillermo Linares,NY,13.0,house,2018,D,2,20180325173946,1,2,homepage;other,https://linaresforcongress.org,5070,429,usable,"Linares, Guillermo",linares_guillermo,"Linares, Guillermo_2018_2",H6NY13162,cand138560,H6NY131622016,NH6NY13162,O,democrat,13.0,NY13,federal:house,general_wayback,-0.769,,,
Thomas Oh,VA,8.0,house,2018,R,2,20181023230106,5,6,action;biography;endorsements;homepage;issues;other,https://www.letuschangecongress.org,7849,1051,usable,"Oh, Thomas",oh_thomas,"Oh, Thomas_2018_2",H8VA08159,cand144848,H8VA081592020,NH8VA08159,C,republican,8.0,VA08,federal:house,general_wayback,0.895,1.379,,
John Joseph Paschen,IA,4.0,house,2018,D,2,20180601124139,1,1,homepage,https://www.apaschenforiowa.com,1647,212,usable,"Paschen, John Joseph",paschen_john,"Paschen, John Joseph_2018_2",H8IA04122,cand142466,H8IA041222018,NH8IA04122,C,democrat,4.0,IA04,federal:house,general_wayback,-1.112,-1.112,,
Darrell Allen Rodriguez,TX,4.0,house,2018,D,2,20180203140312,1,1,homepage,https://www.darrellforcongress.com,2518,379,usable,"Rodriguez, Darrell Allen",rodriguez_darrell,"Rodriguez, Darrell Allen_2018_2",H8TX32080,cand140762,H8TX320802018,NH8TX32080,C,democrat,4.0,TX04,federal:house,general_wayback,-1.167,-1.167,,
Pete Stauber,MN,8.0,house,2018,R,2,20180919033602,16,18,action;biography;homepage;issues;news;other,https://petestauberforcongress.com,64679,8357,usable,"Stauber, Pete",stauber_pete,"Stauber, Pete_2018_2",H8MN08043,cand141621,H8MN080432022,NH8MN08043,O,republican,8.0,MN08,federal:house,general_wayback,1.195,1.325,0.381,-0.11
Scott Uehlinger,PA,9.0,house,2018,R,2,20180224113044,4,1,homepage,https://www.scottforpa.com,5044,758,usable,"Uehlinger, Scott",uehlinger_scott,"Uehlinger, Scott_2018_2",H8PA15237,cand142741,H8PA152372018,NH8PA15237,O,republican,9.0,PA09,federal:house,general_wayback,1.187,1.429,,
